D,gamma,accuracy,method,cutoff,dataset type
0.1,0.5,0.04469999999999999,rGEO,100,1m
0.1,0.5,0.10611999999999995,rGEO,1000,1m
0.1,0.5,0.026000000000000002,MC2,20,1m
0.1,0.5,0.10433000000000002,MixStuart,1000,1m
0.1,0.5,0.04789999999999999,MixStuart,100,1m
0.1,0.5,0.029999999999999985,MixStuart,20,1m
0.1,0.5,0.07953000000000002,BARD,1000,0r
0.1,0.5,0.10220000000000003,RRA,1000,0r
0.1,0.5,0.10622000000000004,BiGbottom,1000,1r
0.1,0.5,0.10622000000000004,BiGbottom,1000,1m
0.1,0.5,0.029099999999999994,VC,100,1r
0.1,0.5,0.04409999999999997,BiGbottom,100,1r
0.1,0.5,0.021000000000000008,rMEAN,20,1r
0.1,0.5,0.03049999999999999,BiGbottom,20,1r
0.1,0.5,0.03049999999999999,BiGbottom,20,1m
0.1,0.5,0.035099999999999985,rMEAN,100,1r
0.1,0.5,0.08149,RepeatChoice,1000,1m
0.1,0.5,0.022200000000000008,RepeatChoice,100,1m
0.1,0.5,0.011000000000000001,RepeatChoice,20,1m
0.1,0.5,0.10071000000000002,rMEAN,1000,1m
0.1,0.5,0.035099999999999985,rMEAN,100,1m
0.1,0.5,0.021000000000000008,rMEAN,20,1m
0.1,0.5,0.011000000000000003,tL2,20,0r
0.1,0.5,0.02639999999999999,tL2,100,0r
0.1,0.5,0.013500000000000005,tGEO,20,0r
0.1,0.5,0.04409999999999997,BiGbottom,100,1m
0.1,0.5,0.09061000000000004,VC,1000,1r
0.1,0.5,0.10399000000000003,stuart,1000,0r
0.1,0.5,0.04499999999999997,stuart,100,0r
0.1,0.5,0.03919999999999998,MC2,100,1r
0.1,0.5,0.10149000000000001,MC2,1000,1m
0.1,0.5,0.10149000000000001,MC2,1000,1r
0.1,0.5,0.03919999999999998,MC2,100,1m
0.1,0.5,0.026000000000000002,MC2,20,1r
0.1,0.5,0.027000000000000003,MAIC,20,1m
0.1,0.5,0.10149000000000001,tGEO,1000,1m
0.1,0.5,0.03909999999999998,tGEO,100,1m
0.1,0.5,0.018500000000000006,tGEO,20,1m
0.1,0.5,0.04469999999999996,MAIC,100,1m
0.1,0.5,0.10258000000000003,MAIC,1000,1m
0.1,0.5,0.10316000000000003,MC1,1000,1r
0.1,0.5,0.10316000000000003,MC1,1000,1m
0.1,0.5,0.03839999999999998,MC1,100,1r
0.1,0.5,0.03839999999999998,MC1,100,1m
0.1,0.5,0.021000000000000008,MC1,20,1r
0.1,0.5,0.021000000000000008,MC1,20,1m
0.1,0.5,0.09110000000000004,BIRRA,1000,1r
0.1,0.5,0.029399999999999992,BIRRA,100,1r
0.1,0.5,0.014500000000000006,BIRRA,20,1r
0.1,0.5,0.07953000000000002,BARD,1000,0m
0.1,0.5,0.01650000000000001,BARD,100,0r
0.1,0.5,0.01650000000000001,BARD,100,0m
0.1,0.5,0.007000000000000002,BARD,20,0r
0.1,0.5,0.007000000000000002,BARD,20,0m
0.1,0.5,0.03249999999999999,rMixGEO,20,1m
0.1,0.5,0.08978000000000001,BIRRA,1000,0m
0.1,0.5,0.051899999999999974,rMixGEO,100,1m
0.1,0.5,0.025999999999999995,stuart,20,0r
0.1,0.5,0.03449999999999998,tGEO,100,0r
0.1,0.5,0.09763999999999999,tGEO,1000,0r
0.1,0.5,0.10071000000000002,rMEAN,1000,1r
0.1,0.5,0.027999999999999997,rGEO,20,0r
0.1,0.5,0.027999999999999994,rGEO,20,1r
0.1,0.5,0.04139999999999997,MC3,100,1r
0.1,0.5,0.03909999999999998,tGEO,100,1r
0.1,0.5,0.03949999999999997,RRA,100,0r
0.1,0.5,0.04469999999999997,BiGbottom,100,0r
0.1,0.5,0.019400000000000014,RepeatChoice,100,1r
0.1,0.5,0.021000000000000005,RRA,20,0r
0.1,0.5,0.018500000000000006,tGEO,20,1r
0.1,0.5,0.04469999999999997,BiGbottom,100,0m
0.1,0.5,0.02799999999999999,BiGbottom,20,0r
0.1,0.5,0.04469999999999999,rGEO,100,1r
0.1,0.5,0.02799999999999999,BiGbottom,20,0m
0.1,0.5,0.08871000000000002,BiGNA,1000,1m
0.1,0.5,0.021200000000000007,BiGNA,100,1r
0.1,0.5,0.021200000000000007,BiGNA,100,1m
0.1,0.5,0.008500000000000002,BiGNA,20,1r
0.1,0.5,0.008500000000000002,BiGNA,20,1m
0.1,0.5,0.10562,MC3,1000,1r
0.1,0.5,0.08309000000000002,RepeatChoice,1000,1r
0.1,0.5,0.024500000000000008,MC3,20,1m
0.1,0.5,0.024500000000000008,MC3,20,1r
0.1,0.5,0.04139999999999997,MC3,100,1m
0.1,0.5,0.08871000000000002,BiGNA,1000,1r
0.1,0.5,0.10611999999999995,rGEO,1000,1r
0.1,0.5,0.10149000000000001,tGEO,1000,1r
0.1,0.5,0.10497000000000004,BiGbottom,1000,0m
0.1,0.5,0.04799999999999998,rGEO,100,0r
0.1,0.5,0.10498000000000003,rGEO,1000,0r
0.1,0.5,0.025500000000000002,MAIC,20,0r
0.1,0.5,0.04269999999999997,MAIC,100,0r
0.1,0.5,0.013000000000000005,BIRRA,20,0m
0.1,0.5,0.10074000000000001,MAIC,1000,0r
0.1,0.5,0.09980000000000006,MAIC,1000,1r
0.1,0.5,0.03899999999999998,MAIC,100,1r
0.1,0.5,0.026000000000000002,MAIC,20,1r
0.1,0.5,0.10562,MC3,1000,1m
0.1,0.5,0.10497000000000004,BiGbottom,1000,0r
0.1,0.5,0.08292,tL2,1000,0r
0.5,0,0.06879999999999997,BIRRA,100,1r
0.5,0,0.09813999999999996,RepeatChoice,1000,1r
0.5,0,0.012000000000000002,RepeatChoice,20,1r
0.5,0,0.03799999999999999,BIRRA,20,1r
0.5,0,0.12234000000000003,tMEAN,1000,0m
0.5,0,0.12085000000000004,BIRRA,1000,1r
0.5,0,0.18579000000000004,rMixGEO,1000,0m
0.5,0,0.10266000000000002,BARD,1000,1r
0.5,0,0.08099999999999996,tGEO,20,0m
0.5,0,0.10699999999999993,tGEO,100,0m
0.5,0,0.06629999999999997,MC1,100,1m
0.5,0,0.03399999999999998,MC1,20,1r
0.5,0,0.049499999999999975,BARD,100,1m
0.5,0,0.03489999999999995,RepeatChoice,100,1r
0.5,0,0.10266000000000002,BARD,1000,1m
0.5,0,0.03399999999999998,MC1,20,1m
0.5,0,0.05199999999999998,tMEAN,20,0m
0.5,0,0.14096000000000006,tGEO,1000,0m
0.5,0,0.07839999999999997,tMEAN,100,0m
0.5,0,0.049499999999999975,BARD,100,1r
0.5,0,0.11172999999999998,rMixMED,1000,0m
0.5,0,0.030999999999999993,BARD,20,1r
0.5,0,0.049099999999999984,BiGNA,100,0r
0.5,0,0.049099999999999984,BiGNA,100,0m
0.5,0,0.13038000000000002,MAIC,1000,1r
0.5,0,0.08119999999999998,MAIC,100,1r
0.5,0,0.04749999999999998,MAIC,20,1r
0.5,0,0.12257,MC1,1000,1m
0.5,0,0.11662,BiGNA,1000,0m
0.5,0,0.12257,MC1,1000,1r
0.5,0,0.23319999999999996,rMixGEO,100,0m
0.5,0,0.03349999999999997,BARD,100,0m
0.5,0,0.011000000000000003,BARD,20,0r
0.5,0,0.10550000000000001,rGEO,20,0m
0.5,0,0.15323,rGEO,1000,0m
0.5,0,0.02749999999999999,BiGNA,20,0r
0.5,0,0.02749999999999999,BiGNA,20,0m
0.5,0,0.06629999999999997,MC1,100,1r
0.5,0,0.12234000000000003,tMEAN,1000,0r
0.5,0,0.05199999999999998,tMEAN,20,0r
0.5,0,0.030999999999999993,BARD,20,1m
0.5,0,0.027000000000000003,rMixMED,20,0m
0.5,0,0.04469999999999994,rMixMED,100,0m
0.5,0,0.011000000000000003,BARD,20,0m
0.5,0,0.10571000000000005,BARD,1000,0r
0.5,0,0.10571000000000005,BARD,1000,0m
0.5,0,0.07839999999999997,tMEAN,100,0r
0.5,0,0.03349999999999997,BARD,100,0r
0.5,0,0.11753,rMED,1000,1r
0.5,0,0.06869999999999998,rMED,100,1r
0.5,0,0.03949999999999998,rMED,20,1r
0.5,0,0.07099999999999997,tMED,20,0m
0.5,0,0.08339999999999996,tMED,100,0m
0.5,0,0.13225,tMED,1000,0m
0.5,0,0.11662,BiGNA,1000,0r
0.5,0,0.21699999999999992,rMixGEO,20,0m
0.5,0,0.054599999999999954,tMEAN,100,1r
0.5,0,0.04739999999999998,RepeatChoice,100,0m
0.5,0,0.15519,rMixMEAN,1000,0m
0.5,0,0.14303000000000002,MC1,1000,0r
0.5,0,0.14303000000000002,MC1,1000,0m
0.5,0,0.09479999999999997,MC1,100,0r
0.5,0,0.09479999999999997,MC1,100,0m
0.5,0,0.13139,MC3,1000,1m
0.5,0,0.07939999999999997,MC3,100,1r
0.5,0,0.06049999999999997,MC1,20,0r
0.5,0,0.2086,rMixMEAN,100,0m
0.5,0,0.06049999999999997,MC1,20,0m
0.5,0,0.046999999999999965,MC3,20,1r
0.5,0,0.046999999999999965,MC3,20,1m
0.5,0,0.15987000000000007,MAIC,1000,0r
0.5,0,0.13187999999999997,stuart,1000,1r
0.5,0,0.0914999999999999,stuart,100,1r
0.5,0,0.061999999999999965,stuart,20,1r
0.5,0,0.1316999999999999,MAIC,100,0r
0.5,0,0.1015,MAIC,20,0r
0.5,0,0.07939999999999997,MC3,100,1m
0.5,0,0.13139,MC3,1000,1r
0.5,0,0.18799999999999997,rMixMEAN,20,0m
0.5,0,0.11542000000000009,tL2,1000,0m
0.5,0,0.08649999999999997,RRA,20,0m
0.5,0,0.11099999999999997,RRA,100,0m
0.5,0,0.14173999999999998,RRA,1000,0m
0.5,0,0.13371,rGEO,1000,1r
0.5,0,0.09339999999999997,rGEO,100,1r
0.5,0,0.06149999999999996,rGEO,20,1r
0.5,0,0.10049999999999999,stuart,20,0m
0.5,0,0.16559000000000004,MixStuart,1000,0m
0.5,0,0.20400000000000001,MixStuart,100,0m
0.5,0,0.04249999999999996,tMED,20,1r
0.5,0,0.058599999999999965,tMED,100,1r
0.5,0,0.11330999999999998,tMED,1000,1r
0.5,0,0.20650000000000002,MixStuart,20,0m
0.5,0,0.14615999999999998,stuart,1000,0m
0.5,0,0.092,rMEAN,20,0m
0.5,0,0.12249999999999993,rMEAN,100,0m
0.5,0,0.15278000000000003,rMEAN,1000,0m
0.5,0,0.03549999999999998,tL2,20,0m
0.5,0,0.06469999999999998,tL2,100,0m
0.5,0,0.17249999999999996,VC,20,0m
0.5,0,0.11197000000000003,RepeatChoice,1000,0m
0.5,0,0.18610000000000004,VC,100,0m
0.5,0,0.12768000000000002,RRA,1000,1r
0.5,0,0.09280000000000001,BiGbottom,100,1m
0.5,0,0.06099999999999995,BiGbottom,20,1r
0.5,0,0.06099999999999995,BiGbottom,20,1m
0.5,0,0.0265,tMEAN,20,1r
0.5,0,0.11121000000000002,tMEAN,1000,1r
0.5,0,0.11894000000000006,VC,1000,1r
0.5,0,0.06549999999999996,VC,100,1r
0.5,0,0.039499999999999987,VC,20,1r
0.5,0,0.09280000000000001,BiGbottom,100,1r
0.5,0,0.09845000000000004,BiGNA,1000,1r
0.5,0,0.03249999999999999,BiGNA,100,1r
0.5,0,0.03249999999999999,BiGNA,100,1m
0.5,0,0.017500000000000005,BiGNA,20,1r
0.5,0,0.017500000000000005,BiGNA,20,1m
0.5,0,0.09149999999999998,BIRRA,20,0m
0.5,0,0.11679999999999989,BIRRA,100,0m
0.5,0,0.15628000000000003,BIRRA,1000,0m
0.5,0,0.027499999999999997,RepeatChoice,20,0m
0.5,0,0.09845000000000004,BiGNA,1000,1m
0.5,0,0.1338,BiGbottom,1000,1m
0.5,0,0.1338,BiGbottom,1000,1r
0.5,0,0.12173999999999997,tGEO,1000,1r
0.5,0,0.07879999999999997,RRA,100,1r
0.5,0,0.051499999999999976,RRA,20,1r
0.5,0,0.10717,tL2,1000,1r
0.5,0,0.04919999999999998,tL2,100,1r
0.5,0,0.020500000000000008,tL2,20,1r
0.5,0,0.12866000000000005,rMEAN,1000,1r
0.5,0,0.07169999999999994,rMEAN,100,1r
0.5,0,0.11173999999999999,rMED,1000,0r
0.5,0,0.04249999999999999,rMEAN,20,1r
0.5,0,0.12691000000000005,MC2,1000,1r
0.5,0,0.12691000000000005,MC2,1000,1m
0.5,0,0.04489999999999995,rMED,100,0r
0.5,0,0.028999999999999998,rMED,20,0r
0.5,0,0.07849999999999997,MC2,100,1r
0.5,0,0.07849999999999997,MC2,100,1m
0.5,0,0.04749999999999998,MC2,20,1r
0.5,0,0.04749999999999998,MC2,20,1m
0.5,0,0.05349999999999997,tGEO,20,1r
0.5,0,0.07119999999999994,tGEO,100,1r
0.5,0,0.17536000000000002,VC,1000,0m
0.5,0,0.12519999999999995,stuart,100,0m
0.5,0,0.13359999999999997,rGEO,100,0m
0.5,0,0.10479999999999996,MixStuart,100,1m
0.5,0,0.04479999999999995,RepeatChoice,100,0r
0.5,0,0.11088,RepeatChoice,1000,0r
0.5,0,0.13359999999999997,rGEO,100,0r
0.5,0,0.11753,rMED,1000,1m
0.5,0,0.06869999999999998,rMED,100,1m
0.5,0,0.0355,rMixMED,20,1m
0.5,0,0.04999999999999996,rMixMED,100,1m
0.5,0,0.03949999999999998,rMED,20,1m
0.5,0,0.0999,rMixMED,1000,1m
0.5,0,0.051499999999999976,RRA,20,1m
0.5,0,0.08649999999999997,RRA,20,0r
0.5,0,0.11099999999999997,RRA,100,0r
0.5,0,0.14173999999999998,RRA,1000,0r
0.5,0,0.07879999999999997,RRA,100,1m
0.5,0,0.12768000000000002,RRA,1000,1m
0.5,0,0.10800000000000003,BiGbottom,20,0m
0.5,0,0.10800000000000003,BiGbottom,20,0r
0.5,0,0.15461999999999998,MC3,1000,0m
0.5,0,0.12409999999999996,MC3,100,0r
0.5,0,0.12409999999999996,MC3,100,0m
0.5,0,0.09049999999999997,MC3,20,0r
0.5,0,0.09049999999999997,MC3,20,0m
0.5,0,0.13379999999999997,BiGbottom,100,0m
0.5,0,0.13379999999999997,BiGbottom,100,0r
0.5,0,0.15199999999999997,BiGbottom,1000,0m
0.5,0,0.020000000000000004,RepeatChoice,20,0r
0.5,0,0.10550000000000001,rGEO,20,0r
0.5,0,0.11330999999999998,tMED,1000,1m
0.5,0,0.058599999999999965,tMED,100,1m
0.5,0,0.07099999999999997,tMED,20,0r
0.5,0,0.12866000000000005,rMEAN,1000,1m
0.5,0,0.07169999999999994,rMEAN,100,1m
0.5,0,0.08339999999999996,tMED,100,0r
0.5,0,0.13225,tMED,1000,0r
0.5,0,0.04249999999999999,rMEAN,20,1m
0.5,0,0.061999999999999965,stuart,20,1m
0.5,0,0.05349999999999997,VC,20,1m
0.5,0,0.07949999999999996,VC,100,1m
0.5,0,0.12505000000000005,VC,1000,1m
0.5,0,0.10717,tL2,1000,1m
0.5,0,0.04919999999999998,tL2,100,1m
0.5,0,0.15199999999999997,BiGbottom,1000,0r
0.5,0,0.020500000000000008,tL2,20,1m
0.5,0,0.09059999999999997,rMixMEAN,100,1m
0.5,0,0.05949999999999997,rMixMEAN,20,1m
0.5,0,0.0914999999999999,stuart,100,1m
0.5,0,0.13187999999999997,stuart,1000,1m
0.5,0,0.19640000000000002,MAIC,1000,0m
0.5,0,0.24010000000000006,MAIC,100,0m
0.5,0,0.21799999999999997,MAIC,20,0m
0.5,0,0.08099999999999996,tGEO,20,0r
0.5,0,0.10049999999999999,stuart,20,0r
0.5,0,0.12519999999999995,stuart,100,0r
0.5,0,0.14615999999999998,stuart,1000,0r
0.5,0,0.04249999999999996,tMED,20,1m
0.5,0,0.13565000000000002,rMixMEAN,1000,1m
0.5,0,0.0265,tMEAN,20,1m
0.5,0,0.15461999999999998,MC3,1000,0r
0.5,0,0.11121000000000002,tMEAN,1000,1m
0.5,0,0.12249999999999993,rMEAN,100,0r
0.5,0,0.15278000000000003,rMEAN,1000,0r
0.5,0,0.10209999999999997,MAIC,100,1m
0.5,0,0.13831000000000004,MAIC,1000,1m
0.5,0,0.07749999999999996,MixStuart,20,1m
0.5,0,0.054599999999999954,tMEAN,100,1m
0.5,0,0.014500000000000004,MC2,20,0m
0.5,0,0.014500000000000004,MC2,20,0r
0.5,0,0.024499999999999994,RepeatChoice,20,1m
0.5,0,0.039099999999999975,RepeatChoice,100,1m
0.5,0,0.09996000000000001,RepeatChoice,1000,1m
0.5,0,0.06849999999999996,MAIC,20,1m
0.5,0,0.07499999999999994,VC,20,0r
0.5,0,0.14345000000000005,VC,1000,0r
0.5,0,0.15323,rGEO,1000,0r
0.5,0,0.03799999999999999,BIRRA,20,1m
0.5,0,0.06879999999999997,BIRRA,100,1m
0.5,0,0.12085000000000004,BIRRA,1000,1m
0.5,0,0.01920000000000001,MC2,100,0m
0.5,0,0.01920000000000001,MC2,100,0r
0.5,0,0.09102,MC2,1000,0m
0.5,0,0.09102,MC2,1000,0r
0.5,0,0.14096000000000006,tGEO,1000,0r
0.5,0,0.10699999999999993,tGEO,100,0r
0.5,0,0.10360000000000001,VC,100,0r
0.5,0,0.06149999999999996,rGEO,20,1m
0.5,0,0.13414,MixStuart,1000,1m
0.5,0,0.092,rMEAN,20,0r
0.5,0,0.11679999999999989,BIRRA,100,0r
0.5,0,0.09339999999999997,rGEO,100,1m
0.5,0,0.11173999999999999,rMED,1000,0m
0.5,0,0.04489999999999995,rMED,100,0m
0.5,0,0.09149999999999998,BIRRA,20,0r
0.5,0,0.15628000000000003,BIRRA,1000,0r
0.5,0,0.028999999999999998,rMED,20,0m
0.5,0,0.12173999999999997,tGEO,1000,1m
0.5,0,0.07799999999999993,rMixGEO,20,1m
0.5,0,0.13371,rGEO,1000,1m
0.5,0,0.07119999999999994,tGEO,100,1m
0.5,0,0.05349999999999997,tGEO,20,1m
0.5,0,0.03549999999999998,tL2,20,0r
0.5,0,0.11542000000000009,tL2,1000,0r
0.5,0,0.06469999999999998,tL2,100,0r
0.5,0,0.11029999999999994,rMixGEO,100,1m
0.5,0,0.1408000000000001,rMixGEO,1000,1m
0.5,0.2,0.13779999999999995,MAIC,1000,1m
0.5,0.2,0.04369999999999997,RepeatChoice,100,0m
0.5,0.2,0.13984000000000005,rMixGEO,1000,1m
0.5,0.2,0.1041,rMixGEO,100,1m
0.5,0.2,0.08199999999999996,rMixGEO,20,1m
0.5,0.2,0.07329999999999995,tGEO,100,1m
0.5,0.2,0.019000000000000003,BiGNA,20,1m
0.5,0.2,0.019000000000000003,BiGNA,20,1r
0.5,0.2,0.039799999999999974,BiGNA,100,1m
0.5,0.2,0.12629000000000004,tGEO,1000,1m
0.5,0.2,0.10480000000000002,BiGNA,1000,1m
0.5,0.2,0.10480000000000002,BiGNA,1000,1r
0.5,0.2,0.020000000000000007,RepeatChoice,20,0m
0.5,0.2,0.039799999999999974,BiGNA,100,1r
0.5,0.2,0.15935999999999997,MixStuart,1000,0m
0.5,0.2,0.08649999999999998,rMEAN,20,0m
0.5,0.2,0.12680000000000002,stuart,100,0r
0.5,0.2,0.11556999999999996,tMED,1000,1r
0.5,0.2,0.04379999999999996,BARD,100,0r
0.5,0.2,0.10618000000000002,BARD,1000,0m
0.5,0.2,0.14351000000000005,stuart,1000,0r
0.5,0.2,0.11149999999999997,stuart,20,0r
0.5,0.2,0.03349999999999999,tL2,20,0r
0.5,0.2,0.055099999999999955,tL2,100,0r
0.5,0.2,0.0579,tMED,100,1r
0.5,0.2,0.10618000000000002,BARD,1000,0r
0.5,0.2,0.03849999999999999,tMED,20,1r
0.5,0.2,0.04379999999999996,BARD,100,0m
0.5,0.2,0.030500000000000006,BARD,20,0r
0.5,0.2,0.14458999999999997,rMEAN,1000,0m
0.5,0.2,0.10766000000000003,tL2,1000,0r
0.5,0.2,0.05299999999999998,tGEO,20,1m
0.5,0.2,0.1127,rMEAN,100,0m
0.5,0.2,0.10991,RepeatChoice,1000,0m
0.5,0.2,0.1858999999999999,MixStuart,100,0m
0.5,0.2,0.11067000000000003,RepeatChoice,1000,0r
0.5,0.2,0.04699999999999997,MC3,20,1r
0.5,0.2,0.06279999999999998,tMEAN,100,0r
0.5,0.2,0.11292999999999999,tMEAN,1000,0r
0.5,0.2,0.13207999999999998,stuart,1000,1r
0.5,0.2,0.08409999999999995,stuart,100,1r
0.5,0.2,0.058499999999999976,stuart,20,1r
0.5,0.2,0.02879999999999999,MC2,100,0m
0.5,0.2,0.02879999999999999,MC2,100,0r
0.5,0.2,0.09768000000000006,MC2,1000,0m
0.5,0.2,0.09768000000000006,MC2,1000,0r
0.5,0.2,0.038000000000000006,MC1,20,1m
0.5,0.2,0.038000000000000006,MC1,20,1r
0.5,0.2,0.07029999999999996,MC1,100,1m
0.5,0.2,0.07029999999999996,MC1,100,1r
0.5,0.2,0.12634,MC1,1000,1m
0.5,0.2,0.12634,MC1,1000,1r
0.5,0.2,0.039,tMEAN,20,0r
0.5,0.2,0.013999999999999999,MC2,20,0r
0.5,0.2,0.013999999999999999,MC2,20,0m
0.5,0.2,0.12551,rMEAN,1000,1r
0.5,0.2,0.09919000000000003,rMixMED,1000,1m
0.5,0.2,0.03909999999999997,rMixMED,100,1m
0.5,0.2,0.027499999999999997,rMixMED,20,1m
0.5,0.2,0.11704999999999999,rMED,1000,1m
0.5,0.2,0.04399999999999998,RRA,20,1r
0.5,0.2,0.07269999999999996,RRA,100,1r
0.5,0.2,0.12798000000000004,RRA,1000,1r
0.5,0.2,0.041999999999999996,BIRRA,20,1r
0.5,0.2,0.05799999999999997,rMixMEAN,20,1m
0.5,0.2,0.055399999999999956,tMEAN,100,1m
0.5,0.2,0.037000000000000005,tMEAN,20,1m
0.5,0.2,0.023499999999999997,rMED,20,0r
0.5,0.2,0.04949999999999997,rMED,100,0r
0.5,0.2,0.11434000000000002,rMED,1000,0r
0.5,0.2,0.0355,rMEAN,20,1r
0.5,0.2,0.06669999999999995,rMEAN,100,1r
0.5,0.2,0.11561999999999996,tMEAN,1000,1m
0.5,0.2,0.06549999999999997,BIRRA,100,1r
0.5,0.2,0.12582,BIRRA,1000,1r
0.5,0.2,0.12582,BIRRA,1000,1m
0.5,0.2,0.11599999999999999,BiGbottom,20,0m
0.5,0.2,0.11599999999999999,BiGbottom,20,0r
0.5,0.2,0.1353,BiGbottom,100,0m
0.5,0.2,0.1353,BiGbottom,100,0r
0.5,0.2,0.14815000000000003,BiGbottom,1000,0m
0.5,0.2,0.14815000000000003,BiGbottom,1000,0r
0.5,0.2,0.0579,tMED,100,1m
0.5,0.2,0.09399999999999993,MAIC,100,1m
0.5,0.2,0.11556999999999996,tMED,1000,1m
0.5,0.2,0.08699999999999992,tMED,100,0r
0.5,0.2,0.12683000000000005,tMED,1000,0r
0.5,0.2,0.18049999999999997,MixStuart,20,0m
0.5,0.2,0.13343999999999998,MC3,1000,1r
0.5,0.2,0.13343999999999998,MC3,1000,1m
0.5,0.2,0.07729999999999997,MC3,100,1r
0.5,0.2,0.07729999999999997,MC3,100,1m
0.5,0.2,0.062499999999999965,tMED,20,0r
0.5,0.2,0.04699999999999997,MC3,20,1m
0.5,0.2,0.048799999999999975,RepeatChoice,100,0r
0.5,0.2,0.03849999999999999,tMED,20,1m
0.5,0.2,0.06549999999999997,BIRRA,100,1m
0.5,0.2,0.041999999999999996,BIRRA,20,1m
0.5,0.2,0.0285,VC,20,1r
0.5,0.2,0.04979999999999997,VC,100,1r
0.5,0.2,0.11261999999999998,VC,1000,1r
0.5,0.2,0.08189999999999996,rMixMEAN,100,1m
0.5,0.2,0.13238000000000003,rMixMEAN,1000,1m
0.5,0.2,0.025,RepeatChoice,20,0r
0.5,0.2,0.11828000000000001,VC,1000,1m
0.5,0.2,0.04449999999999998,VC,20,1m
0.5,0.2,0.11135,tL2,1000,1r
0.5,0.2,0.10065999999999996,RepeatChoice,1000,1r
0.5,0.2,0.04429999999999997,RepeatChoice,100,1r
0.5,0.2,0.029999999999999995,RepeatChoice,20,1r
0.5,0.2,0.04889999999999995,tL2,100,1r
0.5,0.2,0.02749999999999999,tL2,20,1r
0.5,0.2,0.06199999999999999,VC,100,1m
0.5,0.2,0.07249999999999995,MAIC,20,1m
0.5,0.2,0.16200000000000003,rMixMEAN,20,0m
0.5,0.2,0.1121,RRA,100,0r
0.5,0.2,0.11704999999999999,rMED,1000,1r
0.5,0.2,0.06259999999999995,rMED,100,1r
0.5,0.2,0.13951,RRA,1000,0m
0.5,0.2,0.1121,RRA,100,0m
0.5,0.2,0.09600000000000002,RRA,20,0m
0.5,0.2,0.039999999999999994,rMED,20,1r
0.5,0.2,0.05419999999999996,BiGNA,100,0r
0.5,0.2,0.037000000000000005,tMEAN,20,1r
0.5,0.2,0.11179999999999998,BiGNA,1000,0m
0.5,0.2,0.13585000000000003,BiGbottom,1000,1m
0.5,0.2,0.08689999999999996,BiGbottom,100,1r
0.5,0.2,0.08689999999999996,BiGbottom,100,1m
0.5,0.2,0.059999999999999984,BiGbottom,20,1r
0.5,0.2,0.059999999999999984,BiGbottom,20,1m
0.5,0.2,0.11179999999999998,BiGNA,1000,0r
0.5,0.2,0.07699999999999997,MC3,20,0m
0.5,0.2,0.13585000000000003,BiGbottom,1000,1r
0.5,0.2,0.07699999999999997,MC3,20,0r
0.5,0.2,0.11149999999999997,stuart,20,0m
0.5,0.2,0.0959,tGEO,100,0r
0.5,0.2,0.05999999999999997,rGEO,20,1r
0.5,0.2,0.11561999999999996,tMEAN,1000,1r
0.5,0.2,0.13187000000000004,tGEO,1000,0r
0.5,0.2,0.1465,VC,20,0m
0.5,0.2,0.16659999999999997,VC,100,0m
0.5,0.2,0.09600000000000002,RRA,20,0r
0.5,0.2,0.16252,VC,1000,0m
0.5,0.2,0.07549999999999996,tGEO,20,0r
0.5,0.2,0.07599999999999997,BIRRA,20,0m
0.5,0.2,0.13702000000000003,BIRRA,1000,0m
0.5,0.2,0.13008999999999998,MAIC,1000,1r
0.5,0.2,0.07539999999999995,MAIC,100,1r
0.5,0.2,0.053499999999999985,MAIC,20,1r
0.5,0.2,0.055399999999999956,tMEAN,100,1r
0.5,0.2,0.14351000000000005,stuart,1000,0m
0.5,0.2,0.12680000000000002,stuart,100,0m
0.5,0.2,0.1078999999999999,BIRRA,100,0m
0.5,0.2,0.08639999999999995,rGEO,100,1r
0.5,0.2,0.10699999999999997,rGEO,20,0r
0.5,0.2,0.10766000000000003,tL2,1000,0m
0.5,0.2,0.11292999999999999,tMEAN,1000,0m
0.5,0.2,0.026499999999999996,rMixMED,20,0m
0.5,0.2,0.048199999999999965,rMixMED,100,0m
0.5,0.2,0.11428000000000002,rMixMED,1000,0m
0.5,0.2,0.023499999999999997,rMED,20,0m
0.5,0.2,0.12789000000000006,MC2,1000,1r
0.5,0.2,0.12789000000000006,MC2,1000,1m
0.5,0.2,0.06279999999999998,tMEAN,100,0m
0.5,0.2,0.07399999999999995,MC2,100,1r
0.5,0.2,0.04549999999999998,MC2,20,1r
0.5,0.2,0.04549999999999998,MC2,20,1m
0.5,0.2,0.04949999999999997,rMED,100,0m
0.5,0.2,0.11434000000000002,rMED,1000,0m
0.5,0.2,0.053799999999999945,BARD,100,1r
0.5,0.2,0.053799999999999945,BARD,100,1m
0.5,0.2,0.031999999999999994,BARD,20,1r
0.5,0.2,0.07399999999999995,MC2,100,1m
0.5,0.2,0.13199999999999992,rGEO,100,0r
0.5,0.2,0.17449999999999996,rMixMEAN,100,0m
0.5,0.2,0.13207999999999998,stuart,1000,1m
0.5,0.2,0.055099999999999955,tL2,100,0m
0.5,0.2,0.03349999999999999,tL2,20,0m
0.5,0.2,0.12683000000000005,tMED,1000,0m
0.5,0.2,0.08699999999999992,tMED,100,0m
0.5,0.2,0.062499999999999965,tMED,20,0m
0.5,0.2,0.14772999999999992,rGEO,1000,0r
0.5,0.2,0.14154999999999998,MC3,1000,0r
0.5,0.2,0.14620000000000005,rMixMEAN,1000,0m
