heterogeneity_D,top-100 accuracy,method,M,dataset type
0.1,0.15,BiGNA,1,0m
0.1,0.2,BiGNA,1,0m
0.1,0.16,BiGNA,1,0m
0.1,0.13,BiGNA,1,0m
0.1,0.15,BiGNA,1,0m
0.1,0.22,BiGNA,1,0m
0.1,0.07,BiGNA,1,0m
0.1,0.03,BiGNA,1,0m
0.1,0.04,BiGNA,1,0m
0.1,0.1,BiGNA,1,0m
0.1,0.08,BiGNA,1,0m
0.1,0.16,BiGNA,1,0m
0.1,0.16,BiGNA,1,0m
0.1,0.16,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.1,BiGNA,1,0m
0.1,0.21,BiGNA,1,0m
0.1,0.24,BiGNA,1,0m
0.1,0.12,BiGNA,1,0m
0.1,0.29,BiGNA,1,0m
0.1,0.25,BiGNA,1,0m
0.1,0.29,BiGNA,1,0m
0.1,0.2,BiGNA,1,0m
0.1,0.18,BiGNA,1,0m
0.1,0.28,BiGNA,1,0m
0.1,0.11,BiGNA,1,0m
0.1,0.21,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.08,BiGNA,1,0m
0.1,0.05,BiGNA,1,0m
0.1,0.17,BiGNA,1,0m
0.1,0.29,BiGNA,1,0m
0.1,0.2,BiGNA,1,0m
0.1,0.1,BiGNA,1,0m
0.1,0.12,BiGNA,1,0m
0.1,0.21,BiGNA,1,0m
0.1,0.04,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.2,BiGNA,1,0m
0.1,0.06,BiGNA,1,0m
0.1,0.22,BiGNA,1,0m
0.1,0.29,BiGNA,1,0m
0.1,0.08,BiGNA,1,0m
0.1,0.16,BiGNA,1,0m
0.1,0.14,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.1,BiGNA,1,0m
0.1,0.18,BiGNA,1,0m
0.1,0.3,BiGNA,1,0m
0.1,0.06,BiGNA,1,0m
0.1,0.12,BiGNA,1,0m
0.1,0.22,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.17,BiGNA,1,0m
0.1,0.2,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.04,BiGNA,1,0m
0.1,0.13,BiGNA,1,0m
0.1,0.13,BiGNA,1,0m
0.1,0.11,BiGNA,1,0m
0.1,0.21,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.11,BiGNA,1,0m
0.1,0.25,BiGNA,1,0m
0.1,0.21,BiGNA,1,0m
0.1,0.18,BiGNA,1,0m
0.1,0.22,BiGNA,1,0m
0.1,0.1,BiGNA,1,0m
0.1,0.1,BiGNA,1,0m
0.1,0.35,BiGNA,1,0m
0.1,0.14,BiGNA,1,0m
0.1,0.15,BiGNA,1,0m
0.1,0.12,BiGNA,1,0m
0.1,0.27,BiGNA,1,0m
0.1,0.1,BiGNA,1,0m
0.1,0.23,BiGNA,1,0m
0.1,0.14,BiGNA,1,0m
0.1,0.14,BiGNA,1,0m
0.1,0.22,BiGNA,1,0m
0.1,0.12,BiGNA,1,0m
0.1,0.19,BiGNA,1,0m
0.1,0.13,BiGNA,1,0m
0.1,0.24,BiGNA,1,0m
0.1,0.09,BiGNA,1,0m
0.1,0.04,BiGNA,1,0m
0.1,0.24,BiGNA,1,0m
0.1,0.1,BiGNA,1,0m
0.1,0.2,BiGNA,1,0m
0.1,0.22,BiGNA,1,0m
0.1,0.27,BiGNA,1,0m
0.1,0.17,BiGNA,1,0m
0.1,0.08,BiGNA,1,0m
0.1,0.18,BiGNA,1,0m
0.1,0.16,BiGNA,1,0m
0.1,0.18,BiGNA,1,0m
0.1,0.16,BiGNA,1,0m
0.1,0.2,BiGNA,1,0m
0.1,0.19,BiGNA,1,0m
0.1,0.15,BiGNA,1,0r
0.1,0.2,BiGNA,1,0r
0.1,0.16,BiGNA,1,0r
0.1,0.13,BiGNA,1,0r
0.1,0.15,BiGNA,1,0r
0.1,0.22,BiGNA,1,0r
0.1,0.07,BiGNA,1,0r
0.1,0.03,BiGNA,1,0r
0.1,0.04,BiGNA,1,0r
0.1,0.1,BiGNA,1,0r
0.1,0.08,BiGNA,1,0r
0.1,0.16,BiGNA,1,0r
